DateTime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month
2004-03-11 09:00:00,0.016777617659023584,1351,87,-0.16184211468878207,960,129,1079,101,1583,1028,-1.2973553822169908,0.7124729954359985,-1.0028362031081985,9,3,3
2004-03-11 10:00:00,-0.32889526691369847,1233,77,-0.5763491495402095,827,112,1218,98,1446,860,-1.2596991953788366,0.5853558200542603,-1.040665616521792,10,3,3
2004-03-11 11:00:00,-0.4671644207427872,1179,43,-0.744742632448602,762,95,1328,92,1362,671,-1.2973553822169908,0.5564655529220471,-1.0950964271888328,11,3,3
2004-03-11 12:00:00,-0.39802984382824275,1236,61,-0.7188359427703878,774,104,1301,95,1401,664,-1.4228760050108373,1.0707123078754417,-0.9320761492410452,12,3,3
2004-03-11 13:00:00,-0.19062611308460972,1286,63,-0.4468157011491385,869,146,1162,112,1537,799,-1.5735007523634532,1.6254054368139355,-0.8117840576668848,13,3,3
2004-03-11 14:00:00,0.500719656060834,1371,164,0.09722478209336011,1034,207,983,128,1730,1037,-1.6111569392016072,1.896973947856739,-0.7184352173729096,14,3,3
2004-03-11 15:00:00,0.016777617659023584,1310,79,-0.25251552856253173,933,184,1082,126,1647,946,-1.5735007523634532,1.8218592533129847,-0.707004747132831,15,3,3
2004-03-11 16:00:00,0.016777617659023584,1292,95,-0.31728225275806726,912,193,1103,131,1591,957,-1.397771880452068,1.3249466586389183,-0.7638849442798888,16,3,3
2004-03-11 17:00:00,0.500719656060834,1383,150,0.05836474757603869,1020,243,1008,135,1719,1104,-1.3852198181726831,1.1169367352869828,-0.8683921007606074,17,3,3
2004-03-11 18:00:00,1.8142766174371772,1581,307,1.3018858521303214,1319,281,799,151,2083,1409,-1.3224595067757599,0.9204829187879335,-0.901050587160832,18,3,3
2004-03-11 19:00:00,3.2661027326426098,1776,461,2.1568066115113904,1488,383,702,172,2333,1704,-1.397771880452068,1.2151636435365076,-0.8319234576136901,19,3,3
2004-03-11 20:00:00,2.7130261173262538,1640,401,1.7163928869817486,1404,351,743,165,2191,1654,-1.4103239427314527,1.1284928421398681,-0.882544111534038,20,3,3
2004-03-11 21:00:00,1.192065425206278,1313,197,0.2656182650017526,1076,240,957,136,1707,1285,-1.473084254128376,0.9089268119350481,-1.0768621056153742,21,3,3
2004-03-11 22:00:00,-0.4671644207427872,965,61,-0.7836026669659233,749,94,1325,85,1333,821,-1.5860528146428379,0.8742584913763922,-1.2167492890296692,22,3,3
2004-03-11 23:00:00,-0.812837305315509,913,26,-1.0556229085871727,629,47,1565,53,1252,552,-1.5860528146428379,0.7240291022888835,-1.2842434942568002,23,3,3
2004-03-12 00:00:00,-0.32889526691369847,1080,55,-0.6281625288966379,805,122,1254,97,1375,816,-1.5735007523634532,0.591133873480703,-1.3438452319372096,0,4,3
2004-03-12 01:00:00,-0.19062611308460972,1044,53,-0.5633958047011024,829,133,1247,110,1378,832,-1.6488131260397614,0.6604705145980149,-1.3792252588707863,1,4,3
2004-03-12 02:00:00,-0.5362989976573316,988,40,-0.861322736000566,718,82,1396,91,1304,692,-1.7241254997160693,0.7818096365533099,-1.3879341885775127,2,4,3
2004-03-12 03:00:00,-0.9511064591445978,889,21,-1.1462963224609224,574,52,1680,62,1187,512,-1.7366775619954538,0.8106999036855231,-1.392016499377541,3,4,3
2004-03-12 04:00:00,-1.0202410360591423,831,10,-1.2499230811737794,506,21,1893,32,1134,384,-1.849646122509916,1.0187098270374586,-1.3955545020708986,4,4,3
2004-03-12 05:00:00,-1.0893756129736865,847,7,-1.2628764260128864,501,30,1895,44,1155,394,-1.8245419979511464,0.9667073461994745,-1.399636812870927,5,4,3
2004-03-12 06:00:00,-0.9511064591445978,927,17,-1.1592496673000294,571,56,1685,71,1223,487,-1.761781686554223,0.845368224244179,-1.3993646588175916,6,4,3
2004-03-12 07:00:00,-0.5362989976573316,1091,33,-0.8224627014832446,730,109,1387,104,1361,748,-1.8119899356717617,0.9724853996259167,-1.3770480264441045,7,4,3
2004-03-12 08:00:00,1.537738309779,1587,202,0.9262388517962149,1236,307,897,141,1900,1400,-1.6990213751572998,0.8569243310970645,-1.3272438346837623,8,4,3
2004-03-12 09:00:00,1.0883635598344612,1545,205,1.4702793350387138,1353,247,767,132,2058,1588,-1.4605321918489913,0.4582386446725225,-1.3103702833769797,9,4,3
2004-03-12 10:00:00,0.6389888098899229,1350,208,0.4210584030710378,1118,187,912,122,1712,1237,-0.9584497006736048,-0.37957910216165996,-1.375959410230764,10,4,3
2004-03-12 11:00:00,0.36245050223174546,1263,166,0.11017812693246717,1037,216,969,143,1598,1167,-0.8203770156003733,-0.5702548652342673,-1.3969152723375748,11,4,3
2004-03-12 12:00:00,-0.052356959255520856,1206,114,-0.0711687008150324,986,143,1035,113,1537,959,-0.7325125796446809,-0.6800378803366772,-1.4099786668976644,12,4,3
2004-03-12 13:00:00,0.2241813484026566,1252,140,0.03245805789782456,1016,160,1008,116,1593,983,-0.5944398945714494,-0.7955989488655301,-1.3917443453242058,13,4,3
2004-03-12 14:00:00,0.36245050223174546,1287,169,0.2656182650017526,1078,163,949,123,1660,1061,-0.5693357700126801,-0.7262623077482182,-1.3106424374303147,14,4,3
2004-03-12 15:00:00,0.500719656060834,1353,185,0.44696509274925195,1122,190,922,126,1740,1139,-0.6320960814096035,-0.6511476132044641,-1.2970347347635545,15,4,3
2004-03-12 16:00:00,0.4315850791462896,1309,165,0.2526649201626453,1073,178,954,120,1657,1112,-0.6195440191302188,-0.6395915063515787,-1.2842434942568002,16,4,3
2004-03-12 17:00:00,0.15504677148811216,1274,133,0.12313147177157424,1041,150,1006,119,1610,994,-0.49402339633637243,-0.8071550557184155,-1.313636132017002,17,4,3
2004-03-12 18:00:00,1.192065425206278,1510,233,1.1075856795437147,1277,206,812,149,1910,1410,-0.7199605173652962,-0.5009182241169554,-1.2545787024432629,18,4,3
2004-03-12 19:00:00,1.0537962713771893,1525,242,0.9650988863135364,1246,202,821,145,1847,1448,-0.8078249533209888,-0.28135219391213534,-1.1680337134826675,19,4,3
2004-03-12 20:00:00,3.058699001898976,1843,488,2.8303805431449605,1610,340,624,170,2390,1887,-0.9961058875117587,0.128889599365292,-1.060805016468597,20,4,3
2004-03-12 21:00:00,1.537738309779,1598,333,1.2112124382565717,1299,274,752,149,1941,1627,-1.096522385746836,0.2906750953056857,-1.0450200813751551,21,4,3
2004-03-12 22:00:00,0.9155271175481003,1484,215,0.45991843758835926,1127,253,839,139,1723,1491,-1.2345950708200673,0.6258021940393589,-0.9895006544947734,22,4,3
2004-03-12 23:00:00,2.2290840789244437,1677,367,1.4314193005213924,1346,300,741,134,2062,1657,-1.397771880452068,0.9435951324937036,-0.9810638788413821,23,4,3
2004-03-13 00:00:00,0.36245050223174546,1280,122,-0.148888769849675,964,193,963,113,1544,1285,-1.4228760050108373,0.9147048653614904,-1.0284186841217076,0,5,3
2004-03-13 01:00:00,-0.19062611308460972,1196,67,-0.43386235631003134,873,139,1071,97,1463,1144,-1.473084254128376,0.9031487585086053,-1.0757734894020334,1,5,3
2004-03-13 02:00:00,-0.39802984382824275,1184,43,-0.6929292530921735,782,83,1176,82,1365,1043,-1.51074044096653,0.9031487585086053,-1.1212232163090123,2,5,3
2004-03-13 03:00:00,-0.32889526691369847,1172,46,-0.6929292530921735,783,96,1179,82,1380,996,-1.6362610637603765,1.1111586818605403,-1.1438120027358343,3,5,3
2004-03-13 04:00:00,-0.5708662861146037,1147,56,-0.5893024943793167,821,109,1132,83,1412,992,-1.7366775619954538,1.3191686052124751,-1.1478943135358626,4,5,3
2004-03-13 05:00:00,-0.812837305315509,978,30,-1.0556229085871727,625,62,1420,65,1274,819,-1.5735007523634532,0.8858145982292777,-1.1957934269228585,5,5,3
2004-03-13 06:00:00,-0.6745681514864204,1100,27,-1.0167628740698513,646,53,1406,60,1268,835,-1.7115734374366847,1.1111586818605403,-1.221648061989703,6,5,3
2004-03-13 07:00:00,-0.4671644207427872,1112,47,-0.7317892876094949,770,139,1228,77,1409,940,-1.8245419979511464,1.365393032624017,-1.2094011295896185,7,5,3
2004-03-13 08:00:00,0.36245050223174546,1336,132,0.13608481661068153,1043,256,935,96,1678,1192,-1.7994378733923773,1.3480588723446882,-1.205863126896261,8,5,3
2004-03-13 09:00:00,1.0537962713771893,1408,239,0.563545196301216,1153,295,830,119,1777,1411,-1.4103239427314527,0.6604705145980149,-1.1571475513492593,9,5,3
2004-03-13 10:00:00,0.7081233868044674,1447,160,0.27857160984085966,1081,250,869,126,1667,1465,-1.058866198908682,0.16933597335039063,-1.0997230460955312,10,5,3
2004-03-13 11:00:00,1.3303345790353664,1542,283,0.6930786446922873,1184,296,808,158,1780,1583,-0.6572002059683729,-0.35068883502944675,-1.0681531759086476,11,5,3
2004-03-13 12:00:00,0.9846616944626448,1451,210,0.4210584030710378,1117,239,875,161,1679,1387,-0.30574246214560247,-0.8360453228506287,-1.1664007891626564,12,5,3
2004-03-13 13:00:00,0.4315850791462896,1328,154,0.20085154080621706,1059,153,987,124,1600,1101,-0.18022183935175584,-0.9804966585116944,-1.2045023566295852,13,5,3
2004-03-13 14:00:00,-0.12149153617006529,1207,112,-0.2784222182407461,924,118,1088,102,1488,850,-0.35595071126314093,-0.7782647885862023,-1.1563310891892538,14,5,3
2004-03-13 15:00:00,-0.12149153617006529,1240,108,-0.2007021492061035,947,119,1049,116,1532,947,-0.30574246214560247,-0.8476014297035137,-1.1794641837227462,15,5,3
2004-03-13 16:00:00,0.2241813484026566,1306,111,-0.0711687008150324,987,138,1004,124,1554,1078,-0.40615896038067945,-0.7609306283068741,-1.1876288053228024,16,5,3
2004-03-13 17:00:00,0.08591219457356772,1326,97,-0.019355321458603917,1000,148,976,125,1602,1084,-0.5191275208951417,-0.6049231857929231,-1.1590526297226058,17,5,3
2004-03-13 18:00:00,0.7081233868044674,1473,191,0.6153585756576445,1163,227,831,148,1779,1395,-0.5944398945714494,-0.42002547614675856,-1.0681531759086476,18,5,3
2004-03-13 19:00:00,1.399469155949911,1609,258,1.1464457140610362,1286,277,758,165,1922,1612,-0.6320960814096035,-0.33913272817656176,-1.0360389976150934,19,5,3
2004-03-13 20:00:00,1.399469155949911,1611,284,1.0946323347046074,1274,279,754,161,1915,1697,-0.6446481436889883,-0.24090581992703672,-0.9769815680413542,20,5,3
2004-03-13 21:00:00,1.399469155949911,1621,269,0.9780522311526436,1247,283,762,159,1860,1886,-0.6948563928065268,-0.08489837741308576,-0.8939745817741166,21,5,3
2004-03-13 22:00:00,0.6389888098899229,1444,180,0.3044782995190738,1089,214,844,143,1748,1624,-0.7827208287622195,0.01910658426288197,-0.9024113574275079,22,5,3
2004-03-13 23:00:00,0.293315925317201,1418,116,0.0195047130587175,1010,172,892,130,1603,1536,-0.7701687664828349,0.05955295824798019,-0.8662148683339257,23,5,3
2004-03-14 00:00:00,0.500719656060834,1534,93,0.03245805789782456,1013,190,889,129,1611,1535,-0.8705852647179121,0.30800925558501385,-0.7832078820666883,0,6,3
2004-03-14 01:00:00,0.4315850791462896,1484,131,0.1490381614497886,1045,174,880,119,1624,1530,-0.7827208287622195,0.18667013362971838,-0.7728660280399505,1,6,3
2004-03-14 02:00:00,0.2241813484026566,1367,92,-0.2784222182407461,925,128,953,104,1543,1337,-1.0463141366292974,0.6142460871864734,-0.7725938739866154,2,6,3
2004-03-14 03:00:00,0.15504677148811216,1344,132,-0.13593542501056793,968,99,921,93,1620,1278,-1.1592826971437593,0.8742584913763922,-0.7353087686796925,3,6,3
2004-03-14 04:00:00,-0.2597606899991542,1130,56,-0.7188359427703878,773,70,1130,82,1452,1051,-1.096522385746836,0.7413632625682117,-0.754631706466492,4,6,3
2004-03-14 05:00:00,-0.6745681514864204,1062,32,-0.9131361153569943,691,53,1272,70,1377,929,-1.171834759423144,0.8569243310970645,-0.7736824901999564,5,6,3
2004-03-14 06:00:00,-0.812837305315509,1076,29,-1.0685762534262797,618,44,1395,63,1333,872,-1.1592826971437593,0.8049218502590808,-0.7900117334000684,6,6,3
2004-03-14 07:00:00,-0.8819718822300535,1028,27,-1.0815295982653867,615,74,1384,67,1340,853,-1.3099074444963752,1.1169367352869828,-0.7744989523599619,7,6,3
2004-03-14 08:00:00,-0.5362989976573316,1155,36,-0.8483693911614588,722,101,1225,84,1414,959,-1.1592826971437593,0.833812117391294,-0.7744989523599619,8,6,3
2004-03-14 09:00:00,-0.39802984382824275,1235,57,-0.5633958047011024,828,118,1055,83,1527,1093,-1.058866198908682,0.6778046748773426,-0.7481000091864469,9,6,3
2004-03-14 10:00:00,0.016777617659023584,1332,129,-0.2784222182407461,923,144,952,98,1614,1225,-0.7952728910416041,0.27911898845280064,-0.7206124497995913,10,6,3
2004-03-14 11:00:00,0.4315850791462896,1445,148,0.0195047130587175,1009,176,878,114,1696,1355,-0.49402339633637243,-0.12534475139818396,-0.7040110525461438,11,6,3
2004-03-14 12:00:00,0.4315850791462896,1416,145,-0.006401976619496855,1002,161,907,119,1677,1262,-0.19277390163114025,-0.5760329186607099,-0.7897395793467332,12,6,3
2004-03-14 13:00:00,-0.12149153617006529,1281,93,-0.42090901147092424,880,113,1084,104,1525,980,0.045715281677168165,-0.9747186050852519,-0.9699055626546387,13,6,3
2004-03-14 14:00:00,-0.259760689999154,1207,84,-0.42090901147092424,879,103,1104,102,1490,872,0.07081940623593741,-1.0440552462025634,-1.0232477571083387,14,6,3
2004-03-14 15:00:00,-0.19062611308460972,1258,99,-0.3302355975971746,906,112,1081,107,1511,900,0.13357971763286072,-1.1133918873198752,-1.0480137759618426,15,6,3
2004-03-14 16:00:00,0.5698542329753785,1458,150,0.1490381614497886,1045,170,974,129,1646,1099,0.1712359044710148,-1.148060207878531,-1.0504631624418592,16,6,3
2004-03-14 17:00:00,0.500719656060834,1438,156,0.16199150628889566,1051,180,943,128,1668,1206,0.05826734395655301,-1.0093869256439076,-1.0014754328415225,17,6,3
2004-03-14 18:00:00,0.2241813484026566,1478,122,0.18789819596710977,1055,160,929,121,1671,1262,-0.14256565251360176,-0.6684817734837918,-0.8351893062537125,18,6,3
2004-03-14 19:00:00,1.6760074636080882,1808,262,1.2759791624521073,1312,261,753,157,1993,1698,-0.30574246214560247,-0.37957910216165996,-0.7195238335862506,19,6,3
2004-03-14 20:00:00,2.574756963497166,1898,341,1.5998127834297848,1381,325,681,173,2103,1905,-0.40615896038067945,-0.12534475139818396,-0.5894341960920226,20,6,3
2004-03-14 21:00:00,0.846392540633556,1560,214,0.5117318169447875,1140,217,784,146,1818,1648,-0.5191275208951417,0.07688711852730834,-0.5594972502251501,21,6,3
2004-03-14 22:00:00,-0.052356959255520856,1324,100,-0.22660883888431763,940,146,924,121,1587,1423,-0.5693357700126801,0.1577798664975052,-0.5537820151051108,22,6,3
2004-03-14 23:00:00,0.016777617659023584,1349,79,-0.25251552856253173,933,152,933,119,1617,1349,-0.7701687664828349,0.44090448439319435,-0.5611301745451615,23,6,3
2004-03-15 00:00:00,-0.259760689999154,1239,66,-0.43386235631003134,872,104,985,99,1547,1250,-0.7576167042034501,0.37156784327588294,-0.6019532825454422,0,0,3
2004-03-15 01:00:00,-0.259760689999154,1239,73,-0.49862908050556687,853,106,1010,93,1543,1174,-0.8580332024385274,0.5044630720840635,-0.6210040662789065,1,0,3
2004-03-15 02:00:00,-0.259760689999154,1224,66,-0.4856757356664598,855,108,998,88,1566,1149,-0.9333455761148354,0.7529193694210967,-0.5483389340384067,2,0,3
2004-03-15 03:00:00,-0.7437027284009646,1078,44,-0.8224627014832446,734,87,1128,80,1487,1021,-1.0337620743499127,0.8800365448028349,-0.5839911150253185,3,0,3
2004-03-15 04:00:00,-0.7782700168582368,1078,44,-0.8742760808396731,711,66,1150,71,1468,1013,-1.0714182611880667,0.9898195599052454,-0.5510604745717588,4,0,3
2004-03-15 05:00:00,-0.812837305315509,1075,39,-0.8872294256787802,703,88,1156,74,1464,1010,-1.1216265103056053,1.1053806284340981,-0.544528777291714,5,0,3
2004-03-15 06:00:00,-0.5362989976573316,1157,51,-0.5633958047011024,830,138,1030,80,1584,1083,-1.1843868217025286,1.2845002846538196,-0.5173133719581935,6,0,3
2004-03-15 07:00:00,0.016777617659023584,1314,107,-0.13593542501056793,966,228,897,89,1710,1235,-1.1969388839819133,1.2671661243744918,-0.5374527719049985,7,0,3
2004-03-15 08:00:00,2.298218655838988,1797,336,1.9625064389247837,1451,360,652,114,2323,1680,-1.058866198908682,0.9031487585086053,-0.6003203582254308,8,0,3
2004-03-15 09:00:00,4.0957176556171415,1961,618,3.361467681548352,1701,478,537,149,2665,2184,-0.7576167042034501,0.34845562957011206,-0.6259028392389403,9,0,3
2004-03-15 10:00:00,2.505622386582621,1771,438,2.0531798527985337,1470,394,622,157,2262,1973,-0.4312630849394491,-0.15423501853039717,-0.6484916256657621,10,0,3
2004-03-15 11:00:00,1.399469155949911,1564,334,1.2112124382565717,1300,319,710,155,2029,1798,-0.13001359023421694,-0.5644768118078245,-0.7007452039061214,11,0,3
2004-03-15 12:00:00,0.6389888098899229,1430,221,0.4340117479101449,1120,201,831,134,1783,1522,0.14613177991224555,-0.8187111625713005,-0.6727133364125955,12,0,3
2004-03-15 13:00:00,0.500719656060834,1417,207,0.5376385066230018,1146,171,830,119,1831,1404,0.3093085895442463,-0.9284941776737106,-0.6204597581722362,13,0,3
2004-03-15 14:00:00,0.500719656060834,1400,191,0.6024052308185374,1162,159,838,111,1829,1263,0.38462096322055395,-1.0556113530554487,-0.7127199822528704,14,0,3
2004-03-15 15:00:00,0.2241813484026566,1317,185,0.1749448511280027,1053,153,926,104,1707,1137,0.4473812746174773,-1.1191699407463178,-0.7184352173729096,15,0,3
2004-03-15 16:00:00,0.08591219457356772,1318,141,0.09722478209336011,1033,143,950,99,1675,1068,0.4473812746174773,-1.0902796736141047,-0.6879539633993668,16,0,3
2004-03-15 17:00:00,0.4315850791462896,1445,214,0.5246851617838948,1141,156,857,110,1824,1252,0.37206890094116957,-0.9804966585116944,-0.6093014419854927,17,0,3
2004-03-15 18:00:00,2.7130261173262538,1917,471,2.765613818949425,1601,314,631,162,2447,1843,0.20889209130916886,-0.7435964680275464,-0.4977182801180588,18,0,3
2004-03-15 19:00:00,4.026583078702598,2040,685,3.68530130252603,1754,404,542,187,2679,2122,-0.05470121655790922,-0.33335467475011904,-0.3510272453703837,19,0,3
2004-03-15 20:00:00,2.989564424984432,1895,538,2.6231270257192465,1573,320,565,165,2443,1992,-0.31829452442498685,0.2502287213205875,-0.11724691355544274,20,0,3
2004-03-15 21:00:00,1.399469155949911,1595,319,1.1853057485783571,1294,256,678,145,2058,1707,-0.5191275208951417,0.5275752857898339,-0.16051940803574033,21,0,3
2004-03-15 22:00:00,0.7081233868044674,1439,224,0.5894518859794303,1159,193,764,125,1856,1494,-0.6446481436889883,0.6893607817302281,-0.1964437430759876,22,0,3
2004-03-15 23:00:00,-0.5362989976573316,1142,67,-0.49862908050556687,852,89,1008,101,1547,1164,-0.6948563928065268,0.7586974228475394,-0.21658314302279236,23,0,3
2004-03-16 00:00:00,-0.052356959255520856,1304,155,0.04541140273693162,1019,127,852,103,1731,1272,-0.8454811401591429,1.007153720184573,-0.23998839160961977,0,1,3
2004-03-16 01:00:00,-0.6745681514864204,1074,49,-0.6929292530921735,784,79,1098,88,1483,1040,-0.7576167042034501,0.7124729954359985,-0.33415369406360107,1,1,3
2004-03-16 02:00:00,-0.9511064591445978,968,29,-1.0297162189089584,640,43,1320,61,1386,867,-0.7576167042034501,0.6315802474658017,-0.4073631344107709,2,1,3
2004-03-16 03:00:00,-1.0202410360591423,929,25,-1.094482943104494,608,51,1376,60,1364,826,-0.9082414515560662,0.799143796832638,-0.4734965693712256,3,1,3
2004-03-16 04:00:00,-1.0548083245164144,941,25,-1.0556229085871727,626,59,1316,59,1373,840,-1.0714182611880667,1.0360439873167864,-0.5241172232915737,4,1,3
2004-03-16 05:00:00,-1.0893756129736865,937,17,-1.1333429776218154,585,38,1412,52,1348,793,-1.0086579497911434,0.8627023845235071,-0.5695669501985527,5,1,3
2004-03-16 06:00:00,-0.8819718822300535,1017,27,-0.9390428050352086,681,82,1246,64,1418,870,-1.2094909462612982,1.1689392161249668,-0.624542068972264,6,1,3
2004-03-16 07:00:00,-0.6054335745718759,1171,50,-0.7317892876094949,770,99,1162,70,1467,930,-1.2345950708200673,1.0533781475961141,-0.7268719930263009,7,1,3
2004-03-16 08:00:00,0.846392540633556,1541,218,0.7060319895313941,1185,263,770,97,1889,1407,-1.1467306348643749,0.8915926516557203,-0.7230618362796082,8,1,3
2004-03-16 09:00:00,1.0537962713771893,1539,285,1.159399058900143,1287,229,698,95,2055,1507,-0.9082414515560662,0.46401669809896484,-0.7165301389995634,9,1,3
2004-03-16 10:00:00,2.159949502009899,1735,437,1.8588796802119272,1431,396,628,150,2211,1843,-0.3810548358219102,-0.31024246104434855,-0.7358530767863629,10,1,3
2004-03-16 11:00:00,1.3303345790353664,1571,327,1.1982590934174644,1297,314,730,162,1973,1729,0.07081940623593741,-0.8649355899828418,-0.80525236038684,11,1,3
2004-03-16 12:00:00,0.7772579637190115,1452,283,0.9780522311526436,1250,217,776,154,1868,1583,0.4473812746174773,-1.2058407421429573,-0.8558730143071879,12,1,3
2004-03-16 13:00:00,1.2612000021208223,1579,366,1.496186024716928,1359,252,724,161,1998,1671,0.5603498351319395,-1.2809554366867115,-0.8468919305471262,13,1,3
2004-03-16 14:00:00,1.1229308482917333,1466,318,1.2500724727738926,1309,263,773,161,1897,1491,0.6231101465288629,-1.4485189860535481,-1.0305959165483893,14,1,3
2004-03-16 15:00:00,0.4315850791462896,1280,228,0.49877847210568044,1136,180,893,128,1675,1240,0.7737348938814786,-1.6218605888468274,-1.1653121729493154,15,1,3
2004-03-16 16:00:00,0.500719656060834,1407,201,0.7578453688878228,1197,184,905,129,1759,1313,0.9243596412340945,-1.7143094436699093,-1.1870844972161319,16,1,3
2004-03-16 17:00:00,0.500719656060834,1389,199,0.6542186101749659,1173,190,898,133,1739,1363,0.8992555166753253,-1.6854191765376962,-1.1642235567359749,17,1,3
2004-03-16 18:00:00,0.846392540633556,1447,237,0.9132855069571081,1235,184,859,139,1778,1296,0.38462096322055395,-1.3040676503924822,-1.0496467002818537,18,1,3
2004-03-16 19:00:00,1.192065425206278,1551,261,1.0816789898655006,1271,181,800,137,1875,1432,0.05826734395655301,-0.7782647885862023,-0.720068141692921,19,1,3
2004-03-16 20:00:00,0.7081233868044674,1474,230,0.6542186101749659,1173,166,854,143,1776,1432,-0.05470121655790922,-0.6684817734837918,-0.7271441470796364,20,1,3
2004-03-16 21:00:00,2.0216803481808103,1800,349,1.8329729905337124,1426,317,700,177,2106,2034,-0.23043008846929433,-0.40269131586743084,-0.6446814689190694,21,1,3
2004-03-16 22:00:00,0.293315925317201,1379,183,0.3562916788755023,1101,184,818,138,1710,1602,-0.3685027735425258,-0.1369008582510694,-0.5535098610517757,22,1,3
2004-03-16 23:00:00,-0.32889526691369847,1201,88,-0.21365549404521056,943,130,935,117,1560,1362,-0.5191275208951417,0.03644074454220972,-0.5850797312386595,23,1,3
2004-03-17 00:00:00,-0.32889526691369847,1205,85,-0.2784222182407461,925,132,922,107,1547,1314,-0.6697522682477575,0.2675628815999152,-0.5728327988385752,0,2,3
2004-03-17 01:00:00,-0.6745681514864204,1072,47,-0.6929292530921735,784,95,1066,90,1442,1114,-0.6697522682477575,0.20978234733548884,-0.6305294581456385,1,2,3
2004-03-17 02:00:00,-0.8819718822300535,998,34,-0.861322736000566,714,70,1169,79,1383,992,-0.8454811401591429,0.42357032411386664,-0.6710804120925841,2,2,3
2004-03-17 03:00:00,-1.0202410360591423,933,26,-1.0556229085871727,625,62,1292,70,1332,884,-0.9710017629529895,0.5564655529220471,-0.737486001106374,3,2,3
2004-03-17 04:00:00,-1.0893756129736865,883,17,-1.1462963224609224,577,54,1396,60,1303,808,-1.021210012070528,0.5564655529220471,-0.7970877387867839,4,2,3
2004-03-17 05:00:00,-1.1585101898882308,869,11,-1.1851563569782437,554,28,1460,40,1268,667,-1.13417857258499,0.5622436063484898,-0.911664595240905,5,2,3
2004-03-17 06:00:00,-1.1585101898882308,891,18,-1.1462963224609224,576,46,1417,53,1289,733,-1.1216265103056053,0.5275752857898339,-0.9247279898009949,6,2,3
2004-03-17 07:00:00,-0.39802984382824275,1173,84,-0.42090901147092424,878,160,1038,84,1556,1052,-1.3726677558932985,0.97826345305236,-0.9307153789743693,7,2,3
2004-03-17 08:00:00,1.3303345790353664,1587,260,1.3796059211649636,1334,320,702,108,1999,1534,-1.2220430085406828,0.6893607817302281,-0.930171070867699,8,2,3
2004-03-17 09:00:00,3.058699001898976,1852,534,3.32260764703103,1696,377,553,127,2535,1931,-0.8454811401591429,0.09999933223307882,-0.9132975195609161,9,2,3
